ID_ev_booking;date_start;title;subtitle;room;tag1_E;tag2_E;genre;cast_full;program_full
000000e9:001c5d70;2025-11-13T10:00:00;Auf Ludwigs Spuren;;0000010f:00000181;In German;6–11 years;0;Luxembourg Philharmonic (orchestre) | Ustina Dubitsky (direction) | Esther Planton (modération);Ludwig van Beethoven — Symphonie N° 4
000000e9:001b7975;2025-11-13T19:30:00;Homage to Zakir Hussain;Night of the Raga with Kaushiki Chakraborty and Triveni;Grand Auditorium;World;Mood-booster;World;Triveni (ensemble) | Kala Ramnath (violin) | Jayanthi Kumaresh (veena) | Fazal Qureshi (tabla) | Anantha Krishnan (mridangam) | ----- | Kaushiki Chakraborty (vocals) | Ishaan Ghosh (tabla) | Jyotirmoy Banerjee (harmonium) | Murad Ali (sarangi);
000000e9:001b7975;2025-11-13T19:30:00;Homage to Zakir Hussain;Night of the Raga with Kaushiki Chakraborty and Triveni;Grand Auditorium;World;Mood-booster;World;Triveni (ensemble) | Kala Ramnath (violin) | Jayanthi Kumaresh (veena) | Fazal Qureshi (tabla) | Anantha Krishnan (mridangam) | ----- | Kaushiki Chakraborty (vocals) | Ishaan Ghosh (tabla) | Jyotirmoy Banerjee (harmonium) | Murad Ali (sarangi);
000000e9:0019f8ba;2025-11-13T20:00:00;Beethoven 4;;0000010f:00000181;Classical Hits;Epic;Orchestra;Luxembourg Philharmonic (orchestre) | Ustina Dubitsky (direction) | Elisabeth Brauß (piano);Tatsiana Zelianko — Exolandscape (création, commande Ministère de la Culture) | Ludwig van Beethoven — Klavierkonzert N° 4 | Ludwig van Beethoven — Bis: Sonatine op. 79: 3. Vivace | Ludwig van Beethoven — Symphonie N° 4
000000e9:0019cb9e;2025-11-15T19:30:00;Gewandhausorchester Leipzig & Andris Nelsons;Seong-Jin Cho et le Philosophe;Grand Auditorium;Classical Hits;Epic;Orchestra;Gewandhausorchester Leipzig (orchestre) | Andris Nelsons (direction) | Seong-Jin Cho (piano);Joseph Haydn — Symphonie N° 22 «Der Philosoph» / «Le Philosophe» | Felix Mendelssohn Bartholdy — Klavierkonzert N° 1 | Frédéric Chopin — Bis: Valse op. 64/2 | Johannes Brahms — Symphonie N° 3
000000e9:001a7c20;2025-11-15T19:30:00;Craig Taborn Trio;;Espace Découverte;Jazz and More;Thought-provoking;Jazz / Blues;Tomeka Reid (cello) | Craig Taborn (piano) | Ches Smith (Drums) | Ches Smith (percussion) | Ches Smith (electronics);
000000e9:001ad271;2025-11-16T17:00:00;La Mélodie des champs;Concert famille;Salle de Musique de Chambre;External Organiser;;0;Mariano Chiacchiarini (direction) | Orchestre de Chambre du Luxembourg (orchestre de chambre) | Pilar Policano (violon) | Milla Trausch (narration);Clara Schumann — Drei Fugen über Themen von J. S. Bach (arr. Leonardo García Alarcón) | Ralph Vaughan Williams — The Lark Ascending | Ottorino Respighi — Gli uccelli
000000e9:001b7c47;2025-11-16T19:30:00;Hiromi’s Sonicwonder;;Grand Auditorium;Jazz and More;Outside-the-box;Jazz / Blues;Hiromi (piano) | Hiromi (keyboard) | Adam O’Farrill (trumpet) | Gene Coye (drums) | Hadrien Feraud (double bass);
000000e9:0018c830;2025-11-17T19:30:00;Sir Simon Rattle;Bruckner 7;Grand Auditorium;Classical Hits;Epic;Orchestra;Symphonieorchester des Bayerischen Rundfunks (orchestre) | Sir Simon Rattle (direction);Leoš Janáček — Taras Bulba | Anton Bruckner — Symphonie N° 7
000000e9:001a2b3a;2025-11-17T19:30:00;Quatuor à cordes luxembourgeois;;Salle de Musique de Chambre;External Organiser;;0;Cathy Heidt (violon) | Yanis Grisó (violon) | Sophie Urhausen (alto) | Matis Grisó (violoncelle);Wolfgang A. Mozart — Streichquartett KV 157 | Felix Mendelssohn Bartholdy — Streichquartett op. 80 | Anton Webern — Langsamer Satz | Aleksandr Borodine — Quatuor à cordes N° 2
